schoolnummer,intern_vplnummer,net,naam,hoofdzetel,adres,straat,huisnummer,busnummer,postcode,gemeente,niscode,provinciecode,provincie,VWO-vestigingsplaatscode,crab-code,crab-huisnr,lx,ly,kbo-nummer,telefoon,fax,e-mail,website,beheerder(s),soort instelling,onderwijsniveau,instellingstype,begindatum,einddatum,status erkenning,clb,bestuur,scholengemeenschap,taalstelsel,ingerichte hoofdstructuren
34454,1,Vrij gesubsidieerd onderwijs,Spes Nostra 1,True,"Heulsekasteelstraat 2A, 8501 Kortrijk",Heulsekasteelstraat,2A,,8501,Kortrijk,34022,3,West-Vlaanderen,,52179,0,69885,171057,"""KBO  0409.859.939""",056 35 39 53,,spesnostra-aso@snh.be,www.snh.be,Denys Heidi,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114744,974485,113191,Nederlandstalig,311
34462,1,Vrij gesubsidieerd onderwijs,VTI Ieper,True,"Augustijnenstraat 58, 8900 Ieper",Augustijnenstraat,58,,8900,Ieper,33011,3,West-Vlaanderen,,49332,2239644,44279,172627,"""KBO  0469.480.295""",057 20 12 13,,vti@smsi.be,www.vtiieper.be,Roets Pieter,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,113787,113183,Nederlandstalig,311
34471,1,Vrij gesubsidieerd onderwijs,Heilige Familie Ieper,True,"Eigenheerdstraat 8, 8900 Ieper",Eigenheerdstraat,8,,8900,Ieper,33011,3,West-Vlaanderen,,49408,3978098,45053,172193,"""KBO  0469.480.295""",057 20 05 41,,hf@smsi.be,www.hfieper.be,Debel Hans,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,113787,113183,Nederlandstalig,311-311-311
34496,1,Vrij gesubsidieerd onderwijs,Immaculata Ieper,True,"Rijselstraat 83, 8900 Ieper",Rijselstraat,83,,8900,Ieper,33011,3,West-Vlaanderen,,49669,1451344,45738,171852,"""KBO  0469.480.295""",057 20 45 74,,immaculata@smsi.be,www.immaculataieper.be,Vannobel Jan,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,113787,113183,Nederlandstalig,311-311-311-311-311-311
34512,1,Vrij gesubsidieerd onderwijs,Lyceum Ieper,True,"Maloulaan 2, 8900 Ieper",Maloulaan,2,,8900,Ieper,33011,3,West-Vlaanderen,,49566,984089,45014,172079,"""KBO  0469.480.295""",057 20 00 62,,lyceum@smsi.be,www.lyceumieper.be,Uytterschaut Hilde,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,113787,113183,Nederlandstalig,311-311-311-311
34521,1,Vrij gesubsidieerd onderwijs,College Ieper,True,"Gezelleplein 11, 8900 Ieper",Gezelleplein,11,,8900,Ieper,33011,3,West-Vlaanderen,,49441,827930,45880,172193,"""KBO  0469.480.295""",057 20 05 59,,college@smsi.be,www.collegeieper.be,Hosten Frank,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,113787,113183,Nederlandstalig,311-311-311-311
34538,1,Vrij gesubsidieerd onderwijs,Prizma - Middenschool Ingelmunster,True,"Schoolstraat 8, 8770 Ingelmunster",Schoolstraat,8,,8770,Ingelmunster,36007,3,West-Vlaanderen,,57034,1194801,71748,179664,"""KBO  0414.746.462""",051 30 96 65,,middenschool.ingelmunster@prizma.be,www.prizma.be,Berghman Mieke,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,967414,111501,Nederlandstalig,311
34553,1,Vrij gesubsidieerd onderwijs,Prizma - Campus VTI,True,"Italianenlaan 30, 8870 Izegem",Italianenlaan,30,,8870,Izegem,36008,3,West-Vlaanderen,,57172,2275322,69977,179371,"""KBO  0414.746.462""",051 33 65 30,,campus.vti@prizma.be,cvti.prizma.be,Devriendt Myriam,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,967414,111501,Nederlandstalig,311
34561,1,Vrij gesubsidieerd onderwijs,Prizma - Campus IdP,True,"Dirk Martenslaan 16, 8870 Izegem",Dirk Martenslaan,16,,8870,Izegem,36008,3,West-Vlaanderen,,57110,4512626,69035,179281,"""KBO  0414.746.462""",051 33 79 10,,campus.idp@prizma.be,cidp.prizma.be,Pieters Piet,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,967414,111501,Nederlandstalig,311
34579,1,Vrij gesubsidieerd onderwijs,Prizma - Campus College,True,"Burgemeester Vandenbogaerdelaan 53, 8870 Izegem",Burgemeester Vandenbogaerdelaan,53,,8870,Izegem,36008,3,West-Vlaanderen,,57103,626998,68584,178760,"""KBO  0414.746.462""",051 33 59 33,,campus.college@prizma.be,www.prizma.be,Manhaeve Ann,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,967414,111501,Nederlandstalig,311
34587,1,Vrij gesubsidieerd onderwijs,Prizma - Middenschool Izegem 1,True,"Kasteelstraat 28, 8870 Izegem",Kasteelstraat,28,,8870,Izegem,36008,3,West-Vlaanderen,,57186,40798,69063,179356,"""KBO  0414.746.462""",051 30 42 25,,middenschool.izegem@prizma.be,www.prizma.be,Huysentruyt Robby,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,967414,111501,Nederlandstalig,311
34611,1,Vrij gesubsidieerd onderwijs,Sint-Jozefsinstituut Lyceum,True,"Van Rysselberghestraat 12, 8300 Knokke-Heist",Van Rysselberghestraat,12,,8300,Knokke-Heist,31043,3,West-Vlaanderen,,48227,1340466,74613,226583,"""KBO  0410.917.140""",050 60 23 03,,ldevloo-casier@sintjozefslyceum.be,www.sintjozefslyceum.be,Devloo-Casier Luc,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137844,971226,113167,Nederlandstalig,311
34629,1,Vrij gesubsidieerd onderwijs,Sint-Bernardusinstituut,True,"Sportlaan 4, 8300 Knokke-Heist",Sportlaan,4,,8300,Knokke-Heist,31043,3,West-Vlaanderen,,48187,1227430,74369,226564,"""KBO  0410.917.140""",050 60 79 27,,directie@sibe.be,www.sibe.be,Curvers Philip,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137844,971226,113167,Nederlandstalig,311
34661,1,Vrij gesubsidieerd onderwijs,Instituut Sint-Martinus,True,"Ichtegemstraat 14_2, 8680 Koekelare",Ichtegemstraat,14_2,,8680,Koekelare,32010,3,West-Vlaanderen,,48986,718894,52735,198512,"""KBO  0409.951.593""",051 58 85 45,,smik@sint-rembert.be,www.sint-rembert.be/smik,Gadeyne Rik,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,966391,113258,Nederlandstalig,311
34678,1,Vrij gesubsidieerd onderwijs,Hotelschool Ter Duinen,True,"Houtsaegerlaan 40, 8670 Koksijde",Houtsaegerlaan,40,,8670,Koksijde,38014,3,West-Vlaanderen,,60613,2016907,29868,200966,"""KBO  0409.997.818""",058 51 11 98,,peter.verbeke@hotelschoolkoksijde.be,www.hotelschoolkoksijde.be,Verbeke Peter,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,971432,113175,Nederlandstalig,311
34686,1,Vrij gesubsidieerd onderwijs,Margareta-Maria-Instituut - T. S.O. - B.S.O.,True,"Handzamestraat 18, 8610 Kortemark",Handzamestraat,18,,8610,Kortemark,32011,3,West-Vlaanderen,,49120,2311441,56668,191857,"""KBO  0410.204.684""",051 56 77 33,,administratie@mmikortemark.be,www.mmikortemark.be,Laleman Dirk,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,974584,113258,Nederlandstalig,311-311
34694,1,Vrij gesubsidieerd onderwijs,Margareta-Maria-Instituut - A. S.O.,True,"Handzamestraat 18, 8610 Kortemark",Handzamestraat,18,,8610,Kortemark,32011,3,West-Vlaanderen,,49120,2311441,56668,191857,"""KBO  0410.204.684""",051 56 77 33,,administratie@mmikortemark.be,www.mmikortemark.be,François Francine,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,974584,113258,Nederlandstalig,311
34793,1,Vrij gesubsidieerd onderwijs,Don Boscocollege,True,"Don Boscolaan 30, 8500 Kortrijk",Don Boscolaan,30,,8500,Kortrijk,34022,3,West-Vlaanderen,,52031,594049,70973,165197,"""KBO  0415.432.291""",056 26 50 50,,info@donboscokortrijk.be,www.donboscokortrijk.be,Ottevaere Tuur,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114744,962217,113191,Nederlandstalig,311
34835,1,Vrij gesubsidieerd onderwijs,RHIZO 1,True,"Beverlaai 75, 8500 Kortrijk",Beverlaai,75,,8500,Kortrijk,34022,3,West-Vlaanderen,,51924,2026719,71970,168208,"""KBO  0472.945.076""",056 82 82 10,,lyceum@rhizo.be,www.rhizo.be,Verhenne Franceska,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114744,116145,113191,Nederlandstalig,311-311-311-311-311
34868,1,Vrij gesubsidieerd onderwijs,RHIZO 3,True,"Deken Camerlyncklaan 76, 8500 Kortrijk",Deken Camerlyncklaan,76,,8500,Kortrijk,34022,3,West-Vlaanderen,,52009,38367,73578,168167,"""KBO  0472.945.076""",056 82 82 50,,lifestyleschool@rhizo.be,www.rhizo.be,Detavernier Carine,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114744,116145,113191,Nederlandstalig,311-311-311-311
34934,1,Vrij gesubsidieerd onderwijs,Spes Nostra Instituut,True,"Koning Albertstraat 50, 8520 Kuurne",Koning Albertstraat,50,,8520,Kuurne,34023,3,West-Vlaanderen,,52970,3795026,73975,171671,"""KBO  0409.859.939""",056 72 74 04,,secretariaat@spesnostra.be,www.spesnostra.be,Vaes Renaat,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114744,974485,113191,Nederlandstalig,311
34942,1,Vrij gesubsidieerd onderwijs,Prizma - Middenschool Lendelede,True,"Dorpsplein 2, 8860 Lendelede",Dorpsplein,2,,8860,Lendelede,34025,3,West-Vlaanderen,,53105,928536,70463,175661,"""KBO  0414.746.462""",051 30 20 53,,middenschool.lendelede@prizma.be,www.prizma.be,Duchi Rik,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,967414,111501,Nederlandstalig,311
34959,1,Vrij gesubsidieerd onderwijs,Technisch Instituut Sint-Lucas,True,"Oude Leielaan 15, 8930 Menen",Oude Leielaan,15,,8930,Menen,34027,3,West-Vlaanderen,,53389,2152045,62094,165372,"""KBO  0467.872.669""",056 51 12 63,,info@vtimenen.be,vtimenen.be,Bevernage Frederik,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114959,113761,111401,Nederlandstalig,311-311
34975,1,Vrij gesubsidieerd onderwijs,Sint-Aloysiuscollege,True,"Grote Markt 13, 8930 Menen",Grote Markt,13,,8930,Menen,34027,3,West-Vlaanderen,,53258,516726,61913,165795,"""KBO  0467.872.669""",056 51 13 32,,info@collegemenen.be,www.collegemenen.be,Dehaene Mathieu,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114959,113761,111401,Nederlandstalig,311
35022,1,Vrij gesubsidieerd onderwijs,Sportschool Meulebeke,True,"Ingelmunstersteenweg 1A, 8760 Meulebeke",Ingelmunstersteenweg,1A,,8760,Meulebeke,37007,3,West-Vlaanderen,,58791,4179857,73300,182327,"""KBO  0410.981.773""",051 48 88 91,,sportschool@sportschool-meulebeke.be,www.sportschool-meulebeke.be,De Canck Filip,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,971747,113241,Nederlandstalig,311
35097,1,Vrij gesubsidieerd onderwijs,Land- en Tuinbouwinstituut,True,"Bruggestraat 190, 8730 Beernem",Bruggestraat,190,,8730,Beernem,31003,3,West-Vlaanderen,,44401,1717027,75280,209122,"""KBO  0410.917.140""",050 35 09 84,,kimara.goethals@lti-oedelem.be,www.lti-oedelem.be,Goethals Kimara,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137844,971226,113167,Nederlandstalig,311
35139,1,Gemeenschapsonderwijs,GO! Ensorinstituut Oostende,True,"Generaal Jungbluthlaan 4, 8400 Oostende",Generaal Jungbluthlaan,4,,8400,Oostende,35013,3,West-Vlaanderen,,55775,564845,48273,212755,"""KBO  0267.385.250""",059 50 09 31,,oostende@ensorinstituut.be,www.ensorinstituut.be,Himpens Barbara,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs en deeltijds beroepsonderwijs,01/01/0001,31/12/4444,S,114496,114058,112219,Nederlandstalig,311-311-311-311-311-312
35154,1,Vrij gesubsidieerd onderwijs,Sint-Andreasinstituut,True,"Steensedijk 151, 8400 Oostende",Steensedijk,151,,8400,Oostende,35013,3,West-Vlaanderen,,56199,58346,47997,211357,"""KBO  0408.578.846""",059 50 89 70,,directie@saoo.be,www.saoo.be,Coudenys Stefaan,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137844,966903,112748,Nederlandstalig,311
35162,1,Vrij gesubsidieerd onderwijs,College Petrus & Paulus,True,"Vindictivelaan 9, 8400 Oostende",Vindictivelaan,9,,8400,Oostende,35013,3,West-Vlaanderen,,56259,536118,48774,214075,"""KBO  0467.230.291""",059 70 10 22,,college@petrusenpaulus.be,college.petrusenpaulus.be,Scheyving Yannick,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137844,113746,112748,Nederlandstalig,311-311-311
35188,1,Vrij gesubsidieerd onderwijs,VTI Petrus en Paulus,True,"Stuiverstraat 108, 8400 Oostende",Stuiverstraat,108,,8400,Oostende,35013,3,West-Vlaanderen,,56216,1006673,47631,213047,"""KBO  0467.230.291""",059 55 64 74,,west@petrusenpaulus.be,www.petrusenpaulus.be/,Viaene Ludo,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs en deeltijds beroepsonderwijs,01/01/0001,31/12/4444,S,137844,113746,112748,Nederlandstalig,311-311-311-311-311-312-311
35212,1,Vrij gesubsidieerd onderwijs,Sint-Jozef Petrus & Paulus,True,"Alfons Pieterslaan 21, 8400 Oostende",Alfons Pieterslaan,21,,8400,Oostende,35013,3,West-Vlaanderen,,55626,2094083,48424,213927,"""KBO  0467.230.291""",059 80 24 23,,sjo@petrusenpaulus.be,sjo.petrusenpaulus.be,Vergote Ann,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137844,113746,112748,Nederlandstalig,311-311
35238,1,Vrij gesubsidieerd onderwijs,Middenschool Sint-Pieter,True,"Kortrijksestraat 47, 8020 Oostkamp",Kortrijksestraat,47,,8020,Oostkamp,31022,3,West-Vlaanderen,,46888,357844,70757,205296,"""KBO  0472.806.011""",050 82 68 22,,info@middenschoolsint-pieter.be,www.middenschoolsint-pieter.be,Van Ryckeghem Kati,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137844,116137,111575,Nederlandstalig,311
35253,1,Vrij gesubsidieerd onderwijs,Immaculata-instituut,True,"Koninklijke Baan 28, 8660 De Panne",Koninklijke Baan,28,,8660,De Panne,38008,3,West-Vlaanderen,,60288,1409449,25125,199975,"""KBO  0467.747.064""",058 41 15 79,,info@immaculatainstituut.be,www.immaculatainstituut.be,Sevenois Hugo,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,116161,113175,Nederlandstalig,311
35295,2,Vrij gesubsidieerd onderwijs,Sint-Janscollege 2,True,"Burgemeester Bertenplein 32, 8970 Poperinge",Burgemeester Bertenplein,32,,8970,Poperinge,33021,3,West-Vlaanderen,,49895,1213274,34314,172699,"""KBO  0468.713.403""",057 33 31 39,,sjc2@vsop.be,www.sint-janscollege.be,Deweerdt Jan,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,114165,111419,Nederlandstalig,311-311-311-311-311
35311,1,Vrij gesubsidieerd onderwijs,Vrij Technisch Instituut,True,"Boeschepestraat 44, 8970 Poperinge",Boeschepestraat,44,,8970,Poperinge,33021,3,West-Vlaanderen,,49883,552950,34087,172441,"""KBO  0468.713.403""",057 34 65 50,,vti.poperinge@vsop.be,www.vtip.be,Gyssels Stefaan,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs en deeltijds beroepsonderwijs,01/01/0001,31/12/4444,S,137836,114165,111419,Nederlandstalig,311-311-311-312-311-311-311-311
35345,1,Vrij gesubsidieerd onderwijs,Burgerschool,True,"Kattenstraat 7, 8800 Roeselare",Kattenstraat,7,,8800,Roeselare,36015,3,West-Vlaanderen,,58052,274516,62288,182490,"""KBO  0472.817.986""",051 26 46 66,,burgerschool@sint-michiel.be,www.burgerschool.be,Vandaele Patrick,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,116152,113266,Nederlandstalig,311
35378,1,Vrij gesubsidieerd onderwijs,VABI,True,"Zuidstraat 27, 8800 Roeselare",Zuidstraat,27,,8800,Roeselare,36015,3,West-Vlaanderen,,58431,2714926,62567,182199,"""KBO  0472.817.986""",051 26 47 14,,vabi@sint-michiel.be,www.vabi.be,Vandenberghe Bart,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,116152,113266,Nederlandstalig,311-311-311-311
35394,1,Vrij gesubsidieerd onderwijs,Hoger Beroepsonderwijs Verpleegkunde Ic Dien,True,"Westlaan 99, 8800 Roeselare",Westlaan,99,,8800,Roeselare,36015,3,West-Vlaanderen,,58400,1366870,61999,181613,"""KBO  0410.746.597""",051 20 73 54,,info@icdien.be,www.icdien.be,Vanrobaeys Luc,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,62191,,Nederlandstalig,311
35527,1,Vrij gesubsidieerd onderwijs,SJI,True,"Kroonstraat 19, 8700 Tielt",Kroonstraat,19,,8700,Tielt,37015,3,West-Vlaanderen,,59364,2655152,76938,187491,"""KBO  0410.984.743""",051 40 03 30,,sji@molenland.be,www.sjitielt.molenland.be,LAMON Fabiola,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,971796,113241,Nederlandstalig,311-311-311-311
35535,1,Vrij gesubsidieerd onderwijs,Regina Pacis,True,"Patersdreef 5, 8700 Tielt",Patersdreef,5,,8700,Tielt,37015,3,West-Vlaanderen,,59421,2562042,76710,188170,"""KBO  0410.984.743""",051 40 40 17,,reginapacis@molenland.be,www.reginapacistielt.molenland.be,Vanlerberghe Kim,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,971796,113241,Nederlandstalig,311
35584,1,Vrij gesubsidieerd onderwijs,Vrij Technisch Instituut,True,"Grote Hulststraat 28, 8700 Tielt",Grote Hulststraat,28,,8700,Tielt,37015,3,West-Vlaanderen,,59294,1736433,77035,187800,"""KBO  0410.984.743""",051 40 05 68,,vti@molenland.be,www.vtitielt.molenland.be,Strobbe Charlotte,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137851,971796,113241,Nederlandstalig,311-311
35592,1,Vrij gesubsidieerd onderwijs,Technisch Instituut Sint-Vincentius,True,"Spinneschoolstraat 10, 8820 Torhout",Spinneschoolstraat,10,,8820,Torhout,31033,3,West-Vlaanderen,,47353,0,0,0,"""KBO  0409.951.593""",050 22 03 00,,hilde.maertens@sint-rembert.be,www.sivi.be,Maertens Hilde,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,966391,113258,Nederlandstalig,311-311-311-311-311-311
35601,1,Vrij gesubsidieerd onderwijs,Vrij Land- en Tuinbouwinstituut,True,"Conscienceplein 12, 8820 Torhout",Conscienceplein,12,,8820,Torhout,31033,3,West-Vlaanderen,,47132,3047955,61319,195723,"""KBO  0409.951.593""",050 23 15 14,,silke.deschoemaeker@sint-rembert.be,www.vlti.be,Deschoemaeker Silke,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,966391,113258,Nederlandstalig,311
35618,1,Vrij gesubsidieerd onderwijs,Sint-Jozefsinstituut,True,"Bruggestraat 23, 8820 Torhout",Bruggestraat,23,,8820,Torhout,31033,3,West-Vlaanderen,,47128,1227604,61370,196172,"""KBO  0409.951.593""",050 23 15 10,,martine.dezutter@sint-rembert.be,www.sint-rembert.be,De Zutter Martine,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,966391,113258,Nederlandstalig,311
35626,1,Vrij gesubsidieerd onderwijs,Sint-Jozefscollege,True,"Bruggestraat 23, 8820 Torhout",Bruggestraat,23,,8820,Torhout,31033,3,West-Vlaanderen,,47128,1227604,61370,196172,"""KBO  0409.951.593""",050 23 15 10,,ann.stael@sint-rembert.be,www.sint-rembert.be,Stael Ann,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,966391,113258,Nederlandstalig,311
35634,1,Vrij gesubsidieerd onderwijs,Vrij Technisch Instituut Sint-Aloysius,True,"Papebrugstraat 8A, 8820 Torhout",Papebrugstraat,8A,,8820,Torhout,31033,3,West-Vlaanderen,,47297,893750,61344,195882,"""KBO  0409.951.593""",050 23 15 15,,stijn.debruyne@sint-rembert.be,www.sint-rembert.be/vti,Debruyne Stijn,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,966391,113258,Nederlandstalig,311
35659,1,Vrij gesubsidieerd onderwijs,Vrij Technisch Instituut Veurne,True,"Ieperse Steenweg 90, 8630 Veurne",Ieperse Steenweg,90,,8630,Veurne,38025,3,West-Vlaanderen,,61282,1760944,30811,196208,"""KBO  0467.747.064""",058 31 15 09,,franky.dorme@vtiveurne.be,www.vtiveurne.be,Dorme Franky,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,116161,113175,Nederlandstalig,311
35667,1,Vrij gesubsidieerd onderwijs,Bisschoppelijk College der Onbevlekte Ontvangenis,True,"Karel Coggelaan 8, 8630 Veurne",Karel Coggelaan,8,,8630,Veurne,38025,3,West-Vlaanderen,,61294,2106809,30628,197055,"""KBO  0467.747.064""",058 31 14 74,,directie@cove.be,www.collegeveurne.be,Desloovere Christof,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,116161,113175,Nederlandstalig,311
35675,1,Vrij gesubsidieerd onderwijs,Annuntiata-Instituut,True,"Vleeshouwersstraat 22, 8630 Veurne",Vleeshouwersstraat,22,,8630,Veurne,38025,3,West-Vlaanderen,,61421,2136068,30191,197094,"""KBO  0467.747.064""",058 31 13 45,,info@annuntiata.be,www.annuntiata.be,Van Compernolle Hilde,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,137836,116161,113175,Nederlandstalig,311-311
35691,1,Vrij gesubsidieerd onderwijs,Sint-Paulusschool campus College 3,True,"Stationsstraat 85, 8790 Waregem",Stationsstraat,85,,8790,Waregem,34040,3,West-Vlaanderen,,181458,4017283,83885,175821,"""KBO  0466.935.036""",056 60 17 07,,info.campuscollege@sintpaulus.eu,www.sintpaulus.eu,Van den Bossche Geert,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114728,114207,113233,Nederlandstalig,311
35709,1,Vrij gesubsidieerd onderwijs,Sint-Paulusschool campus VTI 1,True,"Toekomststraat 75, 8790 Waregem",Toekomststraat,75,,8790,Waregem,34040,3,West-Vlaanderen,,53938,251235,83330,175401,"""KBO  0466.935.036""",056 60 14 62,,info.campusvti@sintpaulus.eu,www.sintpaulus.eu,Archie Joachim,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114728,114207,113233,Nederlandstalig,311
35717,1,Vrij gesubsidieerd onderwijs,Sint-Paulusschool campus Hemelvaart 2,True,"Keukeldam 17, 8790 Waregem",Keukeldam,17,,8790,Waregem,34040,3,West-Vlaanderen,,53724,2645493,84296,175639,"""KBO  0466.935.036""",056 60 63 43,,info.campushemelvaart@sintpaulus.eu,www.sintpaulus.eu,Dufourmont Wim,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114728,114207,113233,Nederlandstalig,311
35741,1,Vrij gesubsidieerd onderwijs,Sint-Paulusschool campus College 1,True,"Stationsstraat 85, 8790 Waregem",Stationsstraat,85,,8790,Waregem,34040,3,West-Vlaanderen,,181458,4017283,83885,175821,"""KBO  0466.935.036""",056 60 17 07,,info.campuscollege@sintpaulus.eu,www.sintpaulus.eu,De Bremme An,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114728,114207,113233,Nederlandstalig,311
35758,1,Vrij gesubsidieerd onderwijs,Sint-Paulusschool campus Hemelvaart 1,True,"Keukeldam 17, 8790 Waregem",Keukeldam,17,,8790,Waregem,34040,3,West-Vlaanderen,,53724,2645493,84296,175639,"""KBO  0466.935.036""",056 60 63 43,,info.campushemelvaart@sintpaulus.eu,www.sintpaulus.eu,Beunens Donacienne,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114728,114207,113233,Nederlandstalig,311
35766,1,Vrij gesubsidieerd onderwijs,Vives Waregem-Tielt,True,"Vijfseweg 2, 8790 Waregem",Vijfseweg,2,,8790,Waregem,34040,3,West-Vlaanderen,,53952,1857108,83682,176355,"""KBO  0466.935.036""",056 60 24 68,,hilde.vanderdonckt@sgsintpaulus.eu,www.vivesgraduaatvpk.be/waregemtielt,Van Der Donckt Hilde,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,114728,114207,113233,Nederlandstalig,311-311
35824,1,Vrij gesubsidieerd onderwijs,Spes Nostra Instituut,True,"Pastoor Staelensstraat 4, 8210 Zedelgem",Pastoor Staelensstraat,4,,8210,Zedelgem,31040,3,West-Vlaanderen,,47603,2709394,65198,202584,"""KBO  0409.951.593""",050 20 96 15,,stefaan.vanhollebeke@sint-rembert.be,www.spesnostrazedelgem.be,Vanhollebeke Stefaan,Onderwijsinstelling,SO,School voor voltijds gewoon secundair onderwijs,01/01/0001,31/12/4444,S,115121,966391,113258,Nederlandstalig,311
